District,Year,Yield,Rainfall,Temperature,Humidity,Sunlight,Soil_Moisture,Soil_Type,Pest_Risk,PFJ_Policy,Yield_Lag1,Growing_Degree_Days,Water_Availability,Climate_Stress,Moisture_Temp_Ratio,Rainfall_per_Sun,Years_Since_PFJ,Yield_Change,Yield_Growth_Rate
Kwahu West,2010,1.8,735.59,25.89032679738562,83.73601307189543,16.80267973856209,0.6518300653594772,Forest Ochrosol,0,0,2.1,435.02686950318247,479.47967777777785,0.3055410074040021,0.024240317727297036,41.3190604337307,0,-0.30000000000000004,-0.14278914802475015
A.M.A,2011,1.53,670.85,25.85274509803921,87.47137254901962,15.939738562091504,0.8279738562091503,Coastal Savannah,0,0,1.0,412.08599797513773,555.4462614379086,0.29221593780196975,0.030833862727487366,39.602146015479704,0,0.53,0.5294705294705295
Abura Asebu Kwamankese,2011,1.84,792.21,25.15424836601307,89.30666666666667,15.470980392156862,0.7540522875816994,Forest Ochrosol,0,0,1.82,389.16088325003204,597.3677627450982,0.2785425405951543,0.02883096761295482,48.097319111449735,0,0.020000000000000018,0.01098297638660078
Adaklu Anyigbe,2011,1.97,742.92,25.793594771241832,85.64496732026144,16.889477124183006,0.6758169934640523,Tropical Black Earth,0,0,1.79,435.6403288393353,502.07796078431375,0.29769293669304836,0.025223080338194183,41.52832387681808,0,0.17999999999999994,0.10050251256281403
Adansi North,2011,1.1,860.62,24.983202614379085,87.81954248366013,15.960392156862746,0.7389542483660131,Forest Ochrosol,0,0,1.6,398.7417110598488,635.9588052287581,0.281280469542783,0.02843969080074357,50.74293047238086,0,-0.5,-0.3123048094940662
Adansi South,2011,1.0,857.78,24.97562091503268,89.04960784313725,15.960392156862746,0.769281045751634,Forest Ochrosol,0,0,1.5,398.6207041650647,659.8738954248366,0.2773540220023966,0.029615501714780328,50.575481514023444,0,-0.5,-0.33311125916055967
Afram Plains,2011,1.5,824.1899999999999,26.32522875816993,83.18562091503267,17.208496732026145,0.6640522875816993,Forest Ochrosol,0,0,2.3,453.01761305480795,547.3052549019607,0.3127045743920996,0.024301801586314453,45.264033167019626,0,-0.7999999999999998,-0.3476749239461103
Agona,2011,2.26,788.16,25.38516339869281,85.27372549019607,15.960392156862746,0.6666013071895425,Forest Ochrosol,0,0,2.25,405.157162809176,525.3884862745098,0.2942397961193587,0.025264247831892055,46.47062359823348,0,0.009999999999999787,0.004442470013327315
Ahafo Ano North,2011,1.0,767.58,25.15934640522876,86.58895424836602,15.748039215686273,0.6429411764705882,Forest Ochrosol,0,0,1.5,396.21037383057796,493.50878823529416,0.28724337013874224,0.024577876163682608,45.83103670315519,0,-0.5,-0.33311125916055967
Ahafo Ano South,2011,1.1,781.1,25.04372549019608,86.12895424836601,15.960392156862746,0.6701307189542484,Forest Ochrosol,0,0,1.6,399.7076798923492,523.4391045751634,0.2874328712681151,0.025730985346413396,46.05435963837314,0,-0.5,-0.3123048094940662
