District,Year,Yield,Rainfall,Temperature,Humidity,Sunlight,Soil_Moisture,Soil_Type,Pest_Risk,PFJ_Policy,Yield_Lag1,Growing_Degree_Days,Water_Availability,Climate_Stress,Moisture_Temp_Ratio,Rainfall_per_Sun,Years_Since_PFJ,Yield_Change,Yield_Growth_Rate,Rainfall_Temp_Ratio,Moisture_Heat_Index,Water_Availability_Index,Drought_Indicator,Heat_Stress_Indicator,Rainfall_Anomaly,Temperature_Anomaly
Atwima Kwanwoma,2018,2.25,849.42,25.13823529411765,85.28921568627452,16.513790849673203,0.655686274509804,Forest Ochrosol,0,1,2.04,415.127559976932,556.9530352941176,0.2913253422712037,0.0250853306327594,48.50006530801124,1,0.2099999999999999,0.1028907398334149,32.497220659390116,16.482795847750868,850.0756862745097,0,0,151.9522222222222,-0.3154684095860567
Asante Akim South,2015,1.37,593.74,25.44986928104575,85.48660130718955,16.3843137254902,0.6575816993464052,Forest Ochrosol,0,0,1.2,416.97864257336926,390.4325581699346,0.2942637228933417,0.0248614347526335,34.15377847958493,0,0.1700000000000001,0.1415487094088261,22.447747990402366,16.73536828997394,594.3975816993465,1,1,-125.40818181818179,0.0064587046939976744
Birim South,2015,2.93,662.5,25.23522875816993,88.1318954248366,15.738692810457517,0.719281045751634,Forest Ochrosol,0,0,2.55,397.16951342645984,476.52369281045753,0.2831223170772843,0.0274166104051081,39.57895682189128,0,0.3800000000000003,0.1489611916895336,25.252305063042012,18.151221730958177,663.2192810457516,1,0,-91.9909090909091,-0.08571004159239592
Akyemansa,2017,2.04,895.82,25.26032679738562,88.8478431372549,16.253594771241833,0.7817647058823529,Forest Ochrosol,1,1,2.47,410.5711155538469,700.3204588235294,0.2811456114622251,0.0297698011115452,51.92077430108341,0,-0.4300000000000001,-0.1740186159449616,34.113056052645334,19.747631949250287,896.6017647058824,0,0,152.10333333333335,-0.1294553376906329
Atebubu Amantin,2016,1.91,636.92,27.009869281045752,79.15137254901961,17.435032679738562,0.5656209150326796,Forest Ochrosol,1,0,2.01,470.9179535904994,360.2552732026143,0.3369857361397878,0.0201936292296599,34.54943699123578,0,-0.0999999999999998,-0.0497265042267528,22.739127898429825,15.277346977658164,637.4856209150327,1,1,-43.959090909090946,0.37805704099821824
Pusiga,2017,2.04,886.89,28.036666666666665,73.1624183006536,19.77954248366013,0.5784313725490197,Savanna Ochrosol,1,1,1.23,554.5524394335512,513.005,0.3780441267840854,0.0199207222781202,42.68092046287355,0,0.81,0.6580016246953697,30.543795201469408,16.217287581699345,887.468431372549,0,1,51.52600000000007,0.08401307189542351
Lambussie Karni,2018,2.25,822.73,28.064771241830066,69.94549019607842,19.56869281045752,0.5086274509803922,Savanna Ochrosol,0,1,2.04,549.190887227135,418.46306274509806,0.3955821739234578,0.0174997919903933,39.99913886514501,1,0.2099999999999999,0.1028907398334149,28.306777065422956,14.274513059079842,823.2386274509804,0,0,39.847777777777765,-0.24370370370370154
Ketu North,2021,2.53,583.04,26.77411764705882,84.78248366013071,18.250326797385625,0.8008496732026144,Tropical Black Earth,0,1,2.58,488.6363967704729,466.9273934640522,0.3121163727683333,0.0288343875898942,30.28727803619325,4,-0.0500000000000002,-0.0193723363037583,20.992206031853613,21.442043367935405,583.8408496732026,1,1,-26.978888888888946,0.32203340595496854
East Gonja,2017,2.04,807.91,27.36267973856209,80.15104575163399,17.663986928104578,0.6220261437908496,Savanna Ochrosol,1,1,1.86,483.3340172198728,502.5411418300653,0.3371820964859364,0.0219311485911938,43.28710704267769,0,0.1799999999999999,0.0967221923696936,28.484967127473507,17.02030216156179,808.5320261437909,0,0,56.26909090909089,-0.032335115864530195
Nkwanta South,2013,1.19,700.01,24.913856209150328,84.01758169934641,17.524248366013072,0.6873856209150326,Tropical Black Earth,0,0,1.21,436.5966039642873,481.176808496732,0.2930435765304985,0.0265257943614085,37.78884768595129,0,-0.02,-0.0165152766308835,27.01296149636049,17.12542651971464,700.697385620915,1,0,-241.53583333333336,-0.2274437182280309
