model,split,rmse,mae,r2,mape
linear_regression,train,0.2656269492358845,0.17085497538234728,0.7450899817395673,10.053867306218926
linear_regression,val,0.24189476836169965,0.1594767284550111,0.7938663999712395,9.088404797175171
ridge,train,0.2661198630440876,0.17031519986386345,0.7441430503462411,10.02630236499007
ridge,val,0.24218452340616303,0.15840349873207185,0.7933722675535666,9.049429747835074
lasso,train,0.2692965135730496,0.17295232245104236,0.7379983073152065,10.236395477972488
lasso,val,0.24613789142696121,0.1614287316135888,0.7865713150588896,9.252416431756002
decision_tree,train,0.16831700908429467,0.07922176124734037,0.8976474549697111,5.024675629780149
decision_tree,val,0.19564432750622682,0.08956973716167944,0.8651563940382886,5.385856101085323
random_forest,train,0.1390370086888898,0.061105685173532064,0.9301601228910702,3.8889833032982657
random_forest,val,0.1659647538109742,0.07750853336978376,0.9029651879784572,4.602505921419516
gradient_boosting,train,0.0876110717705609,0.045473719612497555,0.9722693134563497,2.7763205519613368
gradient_boosting,val,0.16349010112008147,0.08248385679449055,0.9058373306169922,4.840479954798135
xgboost,train,0.1399712510465082,0.07723275464547441,0.9292184084083953,4.756891562955849
xgboost,val,0.17485360786470178,0.09420995010456569,0.8922927264785878,5.5186336144356565
lightgbm,train,0.12392971651303444,0.06293156589139766,0.9445127057222771,3.861877284321402
lightgbm,val,0.1713912869984446,0.0870823283032317,0.8965159739298036,5.254863473490902
